texto,prioridade
"Na Rua das Flores, nº 215, tem ocorrido um desabastecimento completo de água, afetando aproximadamente 50 famílias. A situação persiste há mais de três dias, comprometendo a saúde e higiene dos moradores.",ALTA
"O posto de saúde na Rua dos Andradas, nº 225, está com estoque esgotado de medicamentos essenciais e sem profissionais suficientes para atender urgências. Aproximadamente 30 pacientes aguardando atendimento crítico.",ALTA
"Incêndio em um prédio na Rua das Flores, precisamos de ajuda urgente!",ALTA
Um grupo de idosos precisa de assistência médica no centro comunitário. Não há atendimento disponível e eles estão sem remédios essenciais.,MEDIA
"Uma árvore caiu na Rua das Flores, no bairro da Liberdade, bloqueando a via desde as 14h. Isso está causando congestionamento significativo. Precisamos de ajuda para remoção e orientação do tráfego.",ALTA
"Na Rua das Orquídeas, há uma senhora idosa precisando de atendimento médico urgente por volta das 14h. Ela parece estar com dificuldades respiratórias e está só em casa.",ALTA
"Muitas famílias no bairro Recanto das Flores precisam urgentemente de alimentos básicos. Se puder, ajude com doações ou encaminhe para alguém que possa ajudar.",MEDIA
Um vizinho idoso na Rua das Flores está sem seus remédios e precisa de atenção médica. Alguém pode ajudar?,MEDIA
Muitas famílias no bairro São Luís estão sem comida e precisamos de doações urgentemente para não passarem fome.,ALTA
"No bairro de Santana, uma pessoa necessita de atendimento médico urgente devido a uma queda grave. O incidente ocorreu por volta das 10h e assistência médica imediata é essencial para evitar complicações sérias.",ALTA
"Há uma criança com febre alta na Rua das Flores, 120. Precisamos de um médico ou enfermeiro para avaliar a situação o quanto antes.",MEDIA
"Na Vila das Flores, hoje pela manhã, houve interrupção de ônibus que afeta o deslocamento de trabalhadores. Pede-se coordenação de transporte alternativo para facilitar o trajeto até o metrô mais próximo.",MEDIA
"A Avenida Sapucaí, no bairro Vila Andrade, enfrenta congestionamento crítico devido a bloqueios de vias e obras. A circulação de transporte público e ambulâncias é impedida, afetando acesso a serviços essenciais e causando atrasos consideráveis.",MEDIA
"O centro comunitário no bairro Paraisópolis está sem alimentos desde ontem à noite, afetando cerca de 150 pessoas. Precisamos de doações urgentes na Rua do Sol, número 45. Agradecemos qualquer ajuda durante o dia de hoje.",ALTA
Tem algumas pessoas com sintomas leves de gripe na casa de apoio do bairro e seria bom ter algum monitoramento médico.,BAIXA
Temos um grupo de voluntários sem transporte para entregar doações na creche do bairro. Precisamos de um carro para ajudar com as entregas.,BAIXA
"O alagamento na Rua dos Girassóis, próximo ao número 250, afeta várias casas. Necessitamos urgentemente de voluntários para ajudar na evacuação e apoio às famílias. A situação se agravou com as chuvas desta manhã.",ALTA
Uma mulher precisa de cuidados médicos urgentes na rua perto da escola.,MEDIA
Precisamos urgentemente de doações de alimentos no centro comunitário do Bairro Verde. Muitas famílias estão desassistidas e enfrentando fome.,ALTA
"Na Rua das Amoras, nº 123, uma senhora idosa precisa de atendimento médico básico por conta de uma leve queda ocorrida por volta das 14h. Aparentemente, não há ferimentos graves, mas atenção médica seria adequada.",MEDIA
Há dificuldades de transporte no bairro Itaquera devido à interdição de ruas por causa do alagamento. Os moradores precisam de transporte alternativo para chegarem ao trabalho e à escola. Sugere-se apoio imediato de voluntários e autoridades locais.,ALTA
"Família sem transporte para abrigo, precisa de carona urgente!",BAIXA
Um morador na Rua das Flores está com febre alta e precisamos de um paramédico para avaliação. Alguém consegue ajudar?,MEDIA
Precisamos de doações de alimentos urgentemente no Centro Comunitário do Bairro Sol Nascente. Muitas famílias estão sem comida hoje.,ALTA
"Na Vila Mariana, o ponto de ônibus central está sem cobertura, causando desconforto em tempos de chuva leve. Melhorias podem tornar o local mais adequado para os passageiros.",BAIXA
"Na Vila Mariana, o acesso ao hospital local está impedido devido a alagamentos na Avenida Principal. Recomenda-se buscar rotas alternativas para emergências médicas. A situação é crítica e requer soluções rápidas.",ALTA
"O centro de distribuição na Avenida das Flores, nº 120, apresenta falta crítica de alimentos básicos, afetando cerca de 150 famílias. A entrega de suprimentos foi interrompida devido a bloqueios viários causados por inundações na região.",ALTA
Estamos precisando urgentemente de alimentos para as famílias da comunidade Mangueira. Muitas crianças já estão sem comida há dias. Alguém pode ajudar a organizar doações?,ALTA
Uma pessoa precisa de atenção médica leve no parque central.,BAIXA
"A Rua das Flores, nº 200, enfrenta dificuldades leves de transporte devido a obras na via que causam lentidão no tráfego. Não há bloqueios completos, e os atrasos são mínimos, com impacto reduzido na mobilidade local.",BAIXA
"Na Unidade Básica de Saúde da Vila Clementino, Rua Loefgren, nº 2100, há falta crítica de médicos para atendimento. Pacientes graves aguardam assistência urgente, limitando a capacidade de resposta a emergências médicas na região.",ALTA
"O centro comunitário do Jardim Eliza precisa urgentemente de doações de alimentos. Famílias estão em situação crítica, sem refeições há dois dias. A ajuda é necessária o mais rápido possível.",ALTA
"Na Rua das Flores, às 9h, um veículo está bloqueando a saída das garagens. Isso está causando pequeno transtorno aos moradores. O local requer atenção para evitar inconvenientes durante o dia.",BAIXA
"Famílias sem comida no bairro, urgência! Precisamos de alimentos agora!",ALTA
"Famílias sem comida há dias na praça central, precisamos de doações urgentes!",ALTA
O posto de saúde do bairro está sem termômetros e é necessário para monitoramento de febre. Alguém tem como ajudar?,BAIXA
"Precisamos de transporte urgente para evacuar famílias, falta tempo!",ALTA
Precisamos de apoio de transporte para levar mantimentos para a igreja Nossa Senhora da Paz. É urgente garantir que as doações cheguem a tempo.,BAIXA
"Preciso de transporte urgente até o hospital, não consigo andar sozinho!",MEDIA
Famílias sem comida há dias na comunidade perto do viaduto! Ajuda urgente!,ALTA
Uma criança está com febre alta na creche Vila Esperança e não tem atendimento médico disponível. Precisamos de ajuda urgente!,ALTA
"O tráfego de veículos na Avenida dos Bandeirantes, próximo à Vila Olímpia, está lento devido a obras na pista, causando atrasos leves no transporte público e privado na região.",BAIXA
"A Rua João Pinheiro, no bairro Vila Mariana, está com trânsito lento devido a um semáforo quebrado, impactando o transporte público local. Equipes de manutenção já foram acionadas, mas o fluxo de veículos segue prejudicado na região.",BAIXA
Uma criança teve uma queda forte no playground da Praça Central e precisa de atendimento médico urgente. Não há nenhum profissional de saúde por perto.,ALTA
Uma criança machucou o joelho brincando na praça e precisa de um kit de primeiros socorros para limpar o ferimento.,BAIXA
"Fogo em prédio na Rua Silva, precisa-se evacuar imediatamente!",ALTA
O estoque de alimentos na comunidade Recanto está quase no fim. Precisamos de doações urgentes para evitar falta de comida nos próximos dias.,MEDIA
"Na UBS Vila Mariana, Rua Dr. Amâncio de Carvalho, há escassez de medicamentos básicos. Pacientes relatam dificuldades no acesso a tratamentos necessários, impactando cerca de 25 atendimentos diários. Urgência em reabastecimento para evitar agravamento de saúde pública.",MEDIA
"Na Rua das Flores, uma senhora está com uma leve indisposição desde as 10h. Parece ser algo que pode esperar, mas talvez precise de acompanhamento médico básico. Vizinhos estão atentos.",BAIXA
"Árvore caiu na rua, bloqueando passagem. Precisa de remoção urgente!",MEDIA
"Na última hora, habitantes do bairro Jardim São Luis enfrentam grave falta de medicamentos essenciais na Clínica Comunitária. Assistência médica urgente é necessária para atender casos críticos.",ALTA
"Os moradores do bairro Jardim das Flores precisam de ajuda para transportar idosos ao posto de saúde, já que o ônibus comunitário quebrou. Se alguém puder ajudar, por favor, entre em contato.",MEDIA
"Precisamos urgentemente de doações de alimentos na comunidade do Jardim Aurora, muitas famílias estão sem comida suficiente para a semana.",ALTA
Uma pessoa precisa de atendimento médico urgente na praça central!,ALTA
"Em Jardim Nova Era, crianças estão sem alimentação adequada desde ontem devido à falta de doações. Precisamos urgentemente de alimentos não perecíveis para suprir essa necessidade crítica.",ALTA
Precisamos de ajuda médica urgente! Um jovem caiu e bateu a cabeça na quadra de esportes. Ele está inconsciente e não temos nenhum profissional de saúde por perto.,ALTA
"Na Rua das Flores, ocorreu uma pane em ônibus por volta das 18h, atrasando o transporte local. Muitos moradores dependem desta rota para chegar ao trabalho. Alternativas de transporte seriam úteis até a normalização.",MEDIA
Precisamos de transporte urgente na Avenida Paulista para evacuação de famílias em perigo!,ALTA
"Uma pessoa está inconsciente na Rua Principal, 245, Jardim São Luiz, necessitando de assistência médica urgente. Ocorreu por volta das 10h, causando grande preocupação entre os presentes.",ALTA
"Na Rua dos Girassóis, Vila Mariana, uma árvore caiu e bloqueou totalmente o acesso. Carros e pedestres estão impedidos de passar. A remoção é urgente para restabelecer o fluxo de trânsito e evitar acidentes.",ALTA
Uma criança com febre alta e dificuldades respiratórias está sem atendimento médico no prédio comunitário da Vila Nova. Precisamos urgente de ajuda médica no local.,ALTA
"Na Rua das Flores, o semáforo está fora de funcionamento desde as 10h. Isso está dificultando o tráfego de veículos, causando transtornos para pedestres e motoristas. A situação precisa de atenção urgente para evitar possíveis acidentes.",ALTA
Precisamos urgentemente de alimentos na comunidade do Jardim São Luiz. Famílias estão sem comida desde ontem. Contamos com a solidariedade de quem puder ajudar.,ALTA
"Socorro! Urgente! Criança presa em casa alagada, precisamos de resgate imediato!",ALTA
"Preciso de transporte urgente para hospital, situação crítica! Alguém ajude imediatamente!",ALTA
"Preciso de transporte para levar compras do mercado até em casa, por favor.",BAIXA
"O centro comunitário na Avenida Paulista, nº 1234, enfrenta escassez de alimentos. Aproximadamente 50 pessoas, incluindo famílias com crianças, estão sem acesso adequado a provisões. Necessidade de reposição imediata para evitar agravamento da situação.",MEDIA
"Famílias no bairro Novo Horizonte estão precisando de doações de alimentos básicos. Os estoques do centro comunitário estão quase vazios, precisamos de ajuda o mais rápido possível!",MEDIA
Uma criança está com febre alta e dificuldade para respirar no centro comunitário do bairro. Precisamos de um médico urgentemente!,ALTA
"Preciso de socorro médico na Avenida Paulista, alguém está ferido, situação urgente!",ALTA
Pessoas idosas estão tendo dificuldades para chegar ao posto de vacinação no bairro Santo Antônio. Precisamos de transporte para ajudar no deslocamento delas.,MEDIA
"Na UBS da Av. Paulista, nº 157, estoque de insulina esgotado. Cerca de 30 pacientes diabéticos sem medicação necessária. Necessidade urgente de reposição imediata.",ALTA
"Idoso com febre alta precisa de atendimento rápido na Rua das Flores, 102.",MEDIA
"Fumaça saindo de edifício, risco de incêndio! Evacuação urgente!",ALTA
"Preciso de transporte urgente para sair da área inundada, água subindo rápido!",MEDIA
Precisamos urgentemente de um médico para atender uma criança com febre alta no Centro Comunitário da Vila Nova. Algum profissional disponível para ajudar?,MEDIA
"Hospital na Avenida Paulista, nº 1578, enfrenta escassez crítica de suprimentos médicos essenciais. Pacientes em estado grave aguardam atendimento urgente, necessitando de medicamentos e equipamentos básicos para suporte vital.",ALTA
"Na Rua Oliveira, Jardim das Flores, moradores mencionaram falta de aspirina na farmácia local. A previsão de reabastecimento é amanhã à tarde. Impacto leve, sem urgências relatadas.",BAIXA
A comunidade está sem alimentos básicos no abrigo do centro comunitário. Precisamos de doações urgentemente para atender famílias necessitadas.,ALTA
"Um trecho da Rua dos Crisântemos, em Santo André, está com trânsito intenso devido a obras, causando lentidão. Recomendo saída antecipada para compromissos a partir das 17h.",BAIXA
Inundação atingindo casas no bairro. Pessoas presas! Precisamos de ajuda urgente!,ALTA
"Precisamos de assistência médica no Parque das Flores; tem pessoas com sintomas de gripe sem atendimento. Quem puder ajudar, por favor, venha rápido!",MEDIA
Preciso de ajuda para levar algumas doações para o centro comunitário no bairro Sant Anna. Estamos sem transporte no momento.,BAIXA
Precisamos de comida urgente para famílias no bairro Jardim Glória!,ALTA
"Na UBS do Jardim São Luiz, há uma crescente demanda por atendimentos devido a casos de gripe. Seria útil aumentar o apoio médico especialmente entre 10h e 16h para atender a todos adequadamente.",MEDIA
Precisamos de transporte para levar doações do centro comunitário até a ONG local. Alguém pode ajudar?,BAIXA
"Na unidade de saúde do Jardim São Luís, há falta de material de limpeza, afetando a manutenção básica de higiene. Isso pode comprometer serviços não críticos, mas requer atenção para evitar agravamento.",BAIXA
"Na Rua dos Andradas, nº 456, há um grande acúmulo de lixo bloqueando a via, impossibilitando a passagem de serviços de emergência e transporte público. A situação afeta diretamente a mobilidade local e a saúde pública, exigindo limpeza imediata.",ALTA
Famílias sem comida na Travessa Santo André! Ajuda urgente agora!,ALTA
Precisamos de ajuda para organizar doações de roupas e sapatos para moradores deslocados na comunidade do Parque dos Cedros. A situação está complicada e qualquer apoio é bem-vindo.,MEDIA
"Pessoal, o estoque de alimentos do centro comunitário está esgotando rápido e muitas famílias dependem dele. Precisamos de doações urgentes para ajudar a manter todos alimentados.",ALTA
"Na Vila Nova, uma pessoa idosa precisa urgentemente de atendimento médico, mas o acesso está bloqueado por causa das chuvas. Ajuda médica imediata é essencial. Situação crítica desde as 6h da manhã de hoje.",ALTA
"Preciso de transporte para sair do centro, ônibus lotado!",BAIXA
"Precisa-se de medicamentos básicos no Posto de Saúde do Jardim das Flores. Estoques limitados e alta demanda observada. Os eventos ocorrem no período da tarde, afetando principalmente idosos e crianças locais.",MEDIA
"Preciso de um médico urgente na rua das Flores, uma criança caiu e está inconsciente. A situação é crítica e o socorro ainda não chegou.",ALTA
"Não conseguimos sair da área, sem transporte. Precisamos de ajuda urgente!",ALTA
"Urgente! Criança machucada em queda, precisa de atendimento médico agora!",ALTA
Famílias sem comida perto do parque central! Ajuda urgente!,ALTA
Uma criança sofreu uma queda grave na praça central e precisa urgentemente de atendimento médico; ainda não há socorro presente.,ALTA
Uma pessoa com leve dor de cabeça precisa de atendimento no posto de saúde do bairro. Alguém disponível para ajudar?,BAIXA
"A Rua das Flores, em Santo Amaro, está com tráfego bloqueado devido a um acidente. A obstrução impede o acesso de veículos de socorro, impactando diretamente na logística de assistência a 20 residências na área.",ALTA
Precisamos urgente de transporte na Av. Paulista para evacuar pessoas. Movimentação difícil.,ALTA
"Na Vila Nova, há necessidade urgente de cobertores e roupas quentes para famílias em situação de rua. A distribuição pode ocorrer no final da tarde, na praça principal. Sua contribuição pode amenizar o frio noturno.",MEDIA
"Uma senhora precisa de consulta médica para sintomas leves de resfriado no bairro Jardim América. Disponível para atendimento domiciliar entre 10h e 14h. A situação está sob controle, mas requer atenção breve.",BAIXA
"Precisamos de comida no centro comunitário, a situação está piorando!",ALTA
"Na Rua Coronel Xavier de Toledo, nº 200, um deslizamento bloqueia a principal via de acesso. Aproximadamente 25 famílias estão isoladas, incluindo grávidas e crianças, sem transporte disponível para evacuação urgente.",ALTA
Estamos com falta de transporte para os idosos irem ao centro médico no bairro Vila Celeste. Precisamos de ajuda para garantir que eles recebam atendimento.,MEDIA
"Na Praça Central, as luzes estão apagadas desde ontem à noite. Isso pode afetar a segurança dos pedestres. Um reparo é necessário, mas não urgente. É aconselhável caminhar com cuidado à noite até a situação ser resolvida.",BAIXA
"Precisamos urgentemente de caronas solidárias para levar idosos do bairro Nova Esperança às consultas médicas. Quem puder ajudar, por favor, manifeste-se!",MEDIA
"Tem um jovem com febre alta e falta de ar no posto de saúde do bairro, precisamos urgente de atendimento médico.",ALTA
Alguém caiu e está inconsciente no Parque da Juventude! Precisamos de ajuda médica urgente!,ALTA
"No bairro de São Mateus, crianças estão com sintomas de gripe e o posto de saúde local está muito cheio. Precisa-se de apoio médico auxiliar durante o horário da tarde para atender os casos mais leves.",MEDIA
"O centro comunitário do Jardim São Luís está sem alimentos essenciais desde ontem. Famílias vulneráveis estão sendo impactadas, e são necessárias doações urgentes para garantir as refeições dos próximos dias.",ALTA
"Moradores da Rua das Flores, 15, estão sem água há três dias, causando dificuldades severas de higiene e alimentação. A situação demanda intervenção urgente e apoio dos voluntários o quanto antes.",ALTA
Árvore caída bloqueando saída da Avenida Central. Precisa de remoção urgente.,BAIXA
Criança com febre alta no parque central. Precisa de ajuda médica urgente!,MEDIA
"A escola municipal na Rua das Palmeiras, nº 215, está sem acesso à água potável devido a uma falha no abastecimento local, afetando cerca de 150 alunos e 20 funcionários.",MEDIA
"Cidade Dutra, Unidade Básica de Saúde enfrenta falta intermitente de materiais médicos descartáveis. Estoque atual atende demandas não críticas, mas reabastecimento é necessário para evitar futuramente dificuldades em atendimentos.",BAIXA
Estamos sem comida no abrigo. Precisamos de alimentos básicos urgentemente!,MEDIA
"Precisamos de comida urgente no abrigo do Jardim Ângela, pessoas passando fome!",ALTA
"Precisamos de transporte urgente para levar alimentos ao centro comunitário do bairro, pois a entrega atrasou e a comunidade está aguardando.",MEDIA
"Preciso de primeiros socorros para ferimento leve, perto da praça central.",BAIXA
"O centro comunitário no Jardim São Paulo está com estoque de alimentos reduzido, impactando 50 famílias. Doações são bem-vindas até o fim do dia para garantir refeições adequadas.",MEDIA
Um jovem está com febre alta na praça do bairro e não conseguimos contato com um médico. Precisamos de ajuda médica moderada.,MEDIA
"Na Rua das Flores, número 123, há um idoso com dificuldade respiratória desde ontem à noite. Ele precisa de atendimento médico, mas não tem transporte disponível. Voluntários podem ajudar a levá-lo ao hospital mais próximo.",MEDIA
Preciso de transporte urgente para um idoso doente na Rua Santos. Ele não consegue se mover!,MEDIA
"Na Rua das Flores, uma árvore caiu após a tempestade e está bloqueando toda a via, dificultando a passagem. Isso ocorreu por volta das 15h e precisa de remoção urgente para que veículos possam circular novamente.",ALTA
"Na região da Avenida Paulista, próximo ao número 1578, há uma interrupção significativa no fornecimento de água, afetando cerca de 50 residências. Essa situação compromete a higiene básica, criando um risco crescente de doenças.",ALTA
"Na UBS Jardim Paulista, há aumento no fluxo de pacientes com sintomas gripais. Recursos médicos estão sendo pressionados; assistência adicional pode ser necessária nas próximas horas.",MEDIA
"Na Unidade de Saúde do Jardim Helena, os estoques de medicamentos essenciais estão quase esgotados. A falta de insumos compromete o atendimento de 150 pacientes diários, gerando risco de agravamento de condições de saúde não controladas.",ALTA
Estamos precisando de alimentos urgentes para as famílias no abrigo da igreja São Rafael. Muitos não têm o que comer hoje.,ALTA
Precisamos de transporte urgente para um grupo preso na estação central!,MEDIA
"No bairro Jardim Paulista, uma árvore bloqueia a Rua Estados Unidos, impossibilitando a passagem de veículos. Isso afeta o transporte local e causa grande transtorno, exigindo remoção urgente para liberar o tráfego.",ALTA
"Interdição total da Avenida dos Bandeirantes, altura do número 1500, devido a um deslizamento de terra. Bloqueio impede acesso de veículos de emergência e retira rota crítica de escoamento, afetando área hospitalar próxima.",ALTA
Famílias sem comida no bairro. Precisamos de mantimentos urgentes!,MEDIA
"Avenida Guarapiranga com trânsito bloqueado devido a alagamento, impossibilitando o transporte de suprimentos. Aproximadamente 20 famílias necessitam de assistência logística para receberem alimentos e medicamentos.",MEDIA
Uma pessoa se sentiu mal próximo à padaria. Precisa de cuidados básicos.,BAIXA
Uma criança com leve febre precisa de avaliação médica na Rua dos Jacarandás. Algum voluntário pode ajudar?,BAIXA
"Estamos sem comida no abrigo, precisamos de mantimentos urgentemente!",MEDIA
"Na Rua das Acácias, uma senhora está com forte dor no peito desde esta manhã. A situação é urgente e requer assistência médica imediata para avaliação e possível tratamento.",ALTA
O parque do bairro precisa de voluntários para ajudar na limpeza após a tempestade de ontem. Interessados podem comparecer a partir das 9h para contribuir na remoção de galhos e lixo.,BAIXA
"Uma praça no bairro Jardim Paulista precisa urgentemente de limpeza após uma forte tempestade que causou entupimento dos bueiros e alagamentos. Isso está afetando a mobilidade dos moradores, especialmente entre 10h e 17h.",ALTA
"Semana passada, no bairro Jardim das Flores, idosos relataram falta de medicamentos para pressão. Farmácias locais estão com estoque baixo. Ajuda com doações seria bem-vinda, principalmente durante a tarde.",MEDIA
"Precisamos de carona para dois idosos até o hospital, pode ajudar?",BAIXA
"Há um aumento de casos de febre alta e tosse no bairro Jardim São Paulo, afetando principalmente crianças. A assistência médica está sobrecarregada na Unidade Básica de Saúde local. Atendimento adicional é necessário urgentemente.",ALTA
Uma criança com febre leve na creche do bairro precisa de orientação médica para evitar agravamento.,BAIXA
Família na Rua das Flores precisa de atendimento médico urgente; criança com febre alta sem remédios disponíveis em casa.,ALTA
"Avenida Presidente Wilson, São Paulo, apresenta bloqueio total devido a inundações, interrompendo transporte de suprimentos urgentes para hospitais; aproximadamente 20 toneladas de carga estão em trânsito. Necessidade imediata de desvio logístico.",ALTA
Estamos sem alimentos no centro comunitário Vila Esperança e muitas famílias estão sem o básico. Precisamos de doações urgentes para alimentar crianças e idosos.,ALTA
"Na Vila Mariana, idosos precisam de assistência médica devido ao aumento de casos de gripe. O suporte é necessário especialmente à tarde. A presença de voluntários pode ajudar a aliviar a situação.",MEDIA
Uma vizinha idosa está com febre alta e precisa de consulta médica. Não há clínicas abertas nas proximidades. Podemos ajudar?,MEDIA
Família precisa de transporte urgente para buscar medicação na clínica do bairro. Não há ônibus fazendo o trajeto hoje.,MEDIA
"O parque comunitário no bairro de Santana está com acúmulo de lixo, afetando o uso e a segurança. Seria importante organizar um mutirão de limpeza, especialmente nos fins de semana, para prevenir riscos à saúde e melhorar o ambiente.",ALTA
Urgente! Criança com febre alta e sem atendimento no parque central.,ALTA
Homem com dor de cabeça leve perto da praça. Precisa de analgésico.,BAIXA
Precisamos de voluntários para ajudar na organização do bazar comunitário amanhã.,BAIXA
"Uma criança está com febre alta no posto de saúde da Vila Nova, mas não há pediatra disponível no momento.",MEDIA
Ônibus não passou no horário e tem gente esperando há horas na praça do bairro. Algum motorista poderia ajudar a transportar o pessoal?,BAIXA
Famílias da Rua das Flores precisam de doações de alimentos; estoque das cestas básicas acabou e crianças estão sem refeição garantida. Precisamos de ajuda urgente para reabastecer.,MEDIA
"Precisamos de transporte urgente para levar famílias do bairro São Luiz até o centro comunitário que oferece assistência. Quem puder ajudar, por favor, entre em contato.",MEDIA
"Necessitamos de transporte até o posto médico mais próximo, somos três pessoas presas.",MEDIA
"O parque na Rua das Flores está com algumas áreas sem iluminação à noite. Pode ser necessário verificar as lâmpadas, pois isso tem gerado desconforto em quem utiliza o espaço após as 18h.",BAIXA
"Preciso de ajuda médica para uma criança com febre alta na Rua das Flores, urgente!",MEDIA
O centro comunitário da Vila Esperança está ficando sem alimentos para as famílias carentes. Precisamos de doações de comida para ajudar quem mais precisa.,MEDIA
"Há um vazamento de gás na Rua Almeida, perigo de explosão. Evacuação urgente necessária!",ALTA
"A comunidade no bairro de Itaquera enfrenta grave escassez de alimentos, afetando diretamente cerca de 50 famílias. Pedimos doações urgentes para entrega na Associação Comunitária até o final do dia.",ALTA
Preciso de ajuda médica na Praça Central. Pessoa com febre alta.,MEDIA
Um vizinho está com febre alta e precisa de avaliação médica. Ele está no prédio da Avenida Central e não tem transporte para ir ao hospital.,MEDIA
"Precisamos de ajuda médica na Praça Central, pessoa com febre alta e sem atendimento.",MEDIA
"Uma criança caiu e machucou o braço no parque, precisa de atendimento médico.",MEDIA
Os moradores do prédio na Rua das Flores estão sem água há dois dias. Precisamos de ajuda urgente para resolver isso e evitar problemas maiores.,ALTA
"Uma criança machucou o braço na pracinha do bairro e precisa de atendimento médico, alguém pode ajudar?",MEDIA
Uma criança caiu na praça central durante a brincadeira e parece ter machucado a perna. Precisamos de atendimento médico urgente!,ALTA
"Na Unidade Básica de Saúde Jardim Helena, falta de médicos está afetando o atendimento de pacientes crônicos. Aproximadamente 30 pessoas aguardam consulta, incluindo gestantes, necessitando de suporte médico contínuo.",MEDIA
Há várias crianças com sintomas de gripe na creche do bairro e não temos médico disponível. Precisamos de ajuda para evitar que a situação piore.,MEDIA
"Uma criança caiu de bicicleta na praça do bairro, parece ter machucado o braço. Algum médico por perto para dar uma olhada?",BAIXA
"Foi rompido um cabo de eletricidade na Rua Central, perigo de choque.",MEDIA
"A Vila Maria está enfrentando escassez de alimentos, afetando aproximadamente 50 famílias. O acesso à área é limitado devido à infraestrutura viária precária, exigindo suporte imediato para fornecimento de recursos essenciais.",ALTA
"Rua alagada! Pessoas ilhadas, precisam de resgate urgente!",ALTA
"O Centro de Saúde Jardim Primavera está sem suprimentos médicos essenciais, afetando atendimento a 30 pacientes, incluindo casos graves. Localizado na Rua das Flores, nº 560, a situação compromete a assistência adequada e requer intervenção imediata.",ALTA
Uma mulher precisa de atendimento médico urgente na praça central! Sem atendimento ainda!,ALTA
"Uma árvore caiu na Rua das Flores, Jardim dos Lírios, bloqueando completamente a via. Precaução ao trafegar pelo local. Solicita-se ajuda para remoção, visando liberar o trânsito o mais rápido possível.",ALTA
"Na comunidade do Jardim das Flores, a distribuição de alimentos está quase esgotada, impactando várias famílias. Urge apoio com doações de mantimentos hoje até às 18h, para evitar desabastecimento significativo.",ALTA
"Precisamos de transporte urgente para evacuar área alagada, situação crítica!",ALTA
"Uma criança com febre baixa em casa, precisa de orientação médica.",BAIXA
Preciso de transporte urgente na Rua 7 de Setembro. Não tenho como sair daqui.,MEDIA
"Posto médico na Avenida Paulista, 1234, enfrenta falta temporária de insumos básicos como bandagens e antissépticos. Impacto limitado no atendimento devido à disponibilidade de alternativas próximas na região central.",BAIXA
"Na Rua das Flores, nº 150, uma pessoa precisa de ajuda médica urgente. Foi relatada queda com possível fratura, e assistência imediata é necessária. O incidente aconteceu por volta das 10h da manhã.",ALTA
Precisamos de transporte urgente para levar pessoas ao abrigo mais próximo! Muitos estão presos sem saída!,MEDIA
"Na Avenida Paulista, altura do nº 1500, há congestionamento significativo devido à interdição de via principal, impactando o transporte público e privado. A situação afeta principalmente o acesso a hospitais e escolas na região, demandando solução rápida para fluidez.",MEDIA
"A linha de ônibus 235 na Vila Mariana tem atrasos frequentes à tarde, dificultando o deslocamento dos moradores. A situação parece administrável, mas seria útil monitorar ou ajustar os horários para melhor atender os passageiros.",BAIXA
"O Centro Comunitário São João, na Zona Leste, está com estoque de alimentos crítico. Famílias necessitam de doações urgentes. Por favor, considere ajudar ainda hoje para garantir refeições para todos. Agradecemos a solidariedade da comunidade.",ALTA
Precisamos urgentemente de transporte para levar pessoas ao abrigo mais próximo.,MEDIA
"Na Rua do Sol, próximo ao número 150, uma senhora idosa parece precisar de assistência médica para sintomas leves. Ocorreu por volta das 15h e ela está acompanhada, mas procura uma avaliação médica básica.",MEDIA
"Na clínica do bairro Tatuapé, pacientes esperam por consultas desde as 9h. Há necessidade de médicos voluntários para agilizar o atendimento e evitar longas esperas.",MEDIA
Muitas famílias no bairro Jardim das Flores estão sem alimentos básicos. Precisamos de doações urgentes para ajudar essas pessoas.,ALTA
Preciso de ajuda urgente para um senhor com dificuldades respiratórias no centro comunitário do bairro. Não há equipe médica disponível no local.,ALTA
Um morador do terceiro andar do prédio na Rua das Flores está com febre alta há dois dias e precisa de um médico para diagnóstico.,MEDIA
"Criança com febre leve no centro de acolhimento, precisa de verificação médica.",BAIXA
"Precisamos de comida na Rua Central, fome aumentando. Ajuda urgente!",MEDIA
"Na Avenida Paulista, altura do número 1500, ocorre bloqueio devido a obras emergenciais. Necessário desvio de transporte para evitar congestionamento. Impacto moderado na circulação, afetando principalmente o transporte público.",MEDIA
"Na Avenida Paulista, nº 1578, um acidente bloqueou a via principal, impactando a circulação de transporte público e privado. Aproximadamente 50 pessoas enfrentam atrasos significativos, necessitando de rotas alternativas para evitar congestionamento.",MEDIA
"No bairro Jardim Florido, famílias enfrentam escassez severa de alimentos. Donativos são urgentemente necessários, especialmente itens não perecíveis. O problema foi observado hoje pela manhã e está afetando gravemente a comunidade local.",ALTA
Um morador da Rua das Flores está sem transporte para uma consulta médica importante. Alguém poderia ajudar com carona ou informações sobre transporte público?,BAIXA
"No bairro de Jardim das Flores, uma senhora necessita de consulta médica domiciliar devido a mal-estar persistente. É importante que a visita ocorra no início da tarde, pois a situação vem se prolongando desde ontem.",MEDIA
"O centro comunitário na Av. Paulista, nº 1234, enfrenta escassez de alimentos, afetando cerca de 50 pessoas, incluindo famílias com crianças. Estoque de alimentos esgotado em três dias se não houver reposição imediata.",MEDIA
"Maternidade no Hospital São José, Rua das Flores 120, enfrenta falta crítica de suprimentos médicos essenciais. Impacto significativo na capacidade de atendimento a parturientes e recém-nascidos.",ALTA
